Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Color,Price,Phone
40,01/03/2022,Harry,Female,13500,Star Enterprises Inc,Nissan,Sentra,Black,16000,7213857
41,01/03/2022,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Pale White,26000,7704004
42,01/03/2022,Hersh,Female,13500,Tri-State Mack Inc,Volvo,S80,Pale White,21000,8018700
43,01/03/2022,Hershel,Male,967500,U-Haul CO,Chevrolet,Lumina,Black,42500,6793858
44,01/03/2022,Aicha,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Black,45001,6739543
45,01/03/2022,Aisha,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Black,36001,6091237
46,01/03/2022,Aissatou,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Pale White,12000,6547535
47,01/03/2022,Alana,Male,1250000,Hatfield Volkswagen,BMW,323i,Pale White,21001,8689761
48,01/03/2022,Chloe,Male,730000,Rabun Used Car Sales,Acura,TL,Pale White,29000,6404807
49,01/03/2022,Valentine,Male,4060000,Race Car Help,Nissan,Altima,Pale White,20000,7117432
50,01/03/2022,Aurore,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,Pale White,22000,7836930
51,01/03/2022,Nikita,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,Pale White,31000,7316398
52,01/03/2022,Justine,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,Black,27000,7680267
53,01/03/2022,Sylvia,Female,640000,C & M Motors Inc,Mercury,Cougar,Black,33000,6402878
54,01/03/2022,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Pale White,14000,7890478
55,01/03/2022,Tamar,Male,520000,Chrysler of Tri-Cities,Acura,RL,Pale White,17000,8523869
56,01/04/2022,Hazel,Male,1876000,Iceberg Rentals,Saturn,SW,Pale White,25600,8852693
57,01/04/2022,Heaven,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Black,17000,6444851
58,01/04/2022,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Pale White,21000,6052630
59,01/04/2022,Hershy,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Pale White,12000,8939776
60,01/04/2022,Hudson,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Pale White,17000,7177888
61,01/04/2022,Amare,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Black,36000,6139882
62,01/04/2022,Alexandria,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Pale White,17000,7181009
63,01/04/2022,Alexis,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Pale White,41000,7936565
64,01/04/2022,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,Black,14000,7419754
65,01/04/2022,Coline,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,Pale White,31100,8637804
66,01/04/2022,Annaelle,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,Black,61000,8380613
67,01/04/2022,Anais,Male,13500,Suburban Ford,Dodge,Viper,Black,26000,6595676
68,01/04/2022,Taylor,Male,895000,Chrysler Plymouth,Toyota,Sienna,Black,12000,7244029
69,01/04/2022,Tessa,Female,660000,Classic Chevy,Volvo,S40,Pale White,42000,6741165
70,01/04/2022,Toby,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,Pale White,21000,8822935
71,01/05/2022,Heidy,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,Pale White,22600,8026457
72,01/05/2022,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Pale White,45000,8872334
73,01/05/2022,Imani,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Black,25000,6204993
74,01/05/2022,Ingrid,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Pale White,62000,7031644
75,01/05/2022,Irene,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Black,22700,7179280
76,01/05/2022,Iris,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,Black,45000,6245275
77,01/05/2022,Hunter,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Black,17000,7072635
78,01/05/2022,James,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Black,49000,6766211
79,01/05/2022,Ilan,Male,410000,Classic Chevy,Audi,A6,Black,15000,8011357
80,01/05/2022,Isaac,Male,930000,Clay Johnson Auto Sales,Acura,TL,Black,28000,7539127
81,01/05/2022,Aaron,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,Pale White,46000,6559063
82,01/05/2022,Israel,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Pale White,43000,8082987
83,01/05/2022,Amara,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Pale White,41000,7328070
84,01/05/2022,Amaya,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,Pale White,45000,7078803
85,01/05/2022,Amelia,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Pale White,22001,8636283
86,01/05/2022,Amia,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Pale White,25001,7109521
87,01/05/2022,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Pale White,12800,7305344
88,01/05/2022,Aminata,Male,13500,Race Car Help,Chrysler,300M,Black,26000,8941079
89,01/05/2022,Alizee,Male,13500,Tri-State Mack Inc,BMW,328i,Black,18000,6136111
90,01/05/2022,Caroline,Male,2550000,U-Haul CO,Oldsmobile,Bravada,Pale White,19000,8001444
91,01/05/2022,Wadia,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Pale White,22500,7696195
92,01/05/2022,Mauricio,Male,13500,Race Car Help,Dodge,Ram Pickup,Pale White,21001,8188037
93,01/05/2022,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,Pale White,46500,8351089
94,01/05/2022,Elisa,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,Pale White,16000,6130679
95,01/05/2022,Tzipora,Male,2110000,Diehl Motor CO Inc,Volvo,V70,Black,39000,6260413
96,01/05/2022,Tziporah,Female,13500,Enterprise Rent A Car,Nissan,Quest,Black,19000,8750989
97,01/05/2022,Tzippy,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,Black,26000,6784534
98,01/05/2022,Tzivia,Male,13500,Hatfield Volkswagen,Honda,Accord,Black,43000,7944735
99,01/05/2022,Valentina,Female,13500,Iceberg Rentals,Nissan,Maxima,Pale White,54000,8099375
100,01/05/2022,Valerie,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,Pale White,22000,6641303
101,01/06/2022,Isabel,Male,13500,Race Car Help,Lexus,ES300,Black,16001,8158584
102,01/06/2022,Isabela,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,Black,16001,7159142
103,01/06/2022,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Pale White,12000,7495544
104,01/06/2022,Abel,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Black,38000,6682438
105,01/06/2022,Amira,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,Pale White,42000,7189696
106,01/06/2022,Amirah,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,Pale White,21000,8844816
107,01/06/2022,Mathias,Female,13500,Chrysler Plymouth,Volvo,C70,Black,49000,8002612
108,01/06/2022,Noel,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Pale White,21200,6633882
109,01/06/2022,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Pale White,71000,8884667
110,01/06/2022,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,Pale White,17000,6759578
111,01/09/2022,Isabella,Female,481000,Saab-Belle Dodge,Subaru,Outback,Pale White,57001,6376331
112,01/09/2022,Isabelle,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,Pale White,62001,6729016
113,01/09/2022,Isis,Male,1350000,Star Enterprises Inc,Ford,Taurus,Black,69001,7270473
114,01/09/2022,Itzel,Male,750000,Suburban Ford,Chevrolet,Cavalier,Pale White,20001,7281617
115,01/09/2022,Yadiel,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,Black,27000,7824922
116,01/09/2022,Joseph,Female,650000,U-Haul CO,Ford,Focus,Black,49000,8944331
117,01/09/2022,Jake,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Black,49000,7757499
118,01/09/2022,James,Female,13500,Nebo Chevrolet,Lexus,GS400,Black,12000,6586288
119,01/09/2022,Amiya,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Pale White,25000,8486170
120,01/09/2022,Amiyah,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,Pale White,42000,6732905
121,01/09/2022,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,Pale White,19000,7212279
122,01/09/2022,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Pale White,26750,8144887
123,01/09/2022,Benott,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,Pale White,31000,8668755
124,01/09/2022,Lucas,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Pale White,49000,8892301
125,01/09/2022,Clara,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Black,15000,6238423
126,01/09/2022,Clara,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,Pale White,26000,7552575
127,01/09/2022,Alexis,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Pale White,17000,6278363
128,01/09/2022,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Pale White,24000,6323753
129,01/09/2022,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,Pale White,19000,8368721
130,01/09/2022,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Pale White,20000,6328688
131,01/10/2022,Izabella,Female,1985000,Tri-State Mack Inc,Acura,TL,Black,28501,6553517
132,01/10/2022,Jason,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,Pale White,15500,8070819
133,01/10/2022,Aniyah,Male,13500,U-Haul CO,Plymouth,Voyager,Pale White,20000,7541816
134,01/10/2022,Elise,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Pale White,29000,8368460
135,01/10/2022,Vivian,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,Pale White,12500,7578367
136,01/12/2022,Jacqueline,Female,500000,U-Haul CO,Mercury,Grand Marquis,Pale White,16001,6435654
137,01/12/2022,Jada,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,Pale White,27250,7906708
138,01/12/2022,Jade,Male,441000,C & M Motors Inc,Dodge,Intrepid,Black,11000,6536878
139,01/12/2022,Jaelynn,Male,1310000,Capitol KIA,Nissan,Maxima,Pale White,22001,6374244
140,01/12/2022,Jamie,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,Pale White,22000,6500188
141,01/12/2022,Janelle,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Pale White,22000,8574162
142,01/12/2022,Jasper,Male,1680000,Pars Auto Sales,Acura,RL,Black,18000,6655590
143,01/12/2022,Jayden,Male,1340000,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Pale White,27000,6691774
144,01/12/2022,Jesse,Female,901000,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Pale White,25000,7264601
145,01/12/2022,Joel,Female,849500,Rabun Used Car Sales,Acura,RL,Pale White,26500,7583887
146,01/12/2022,John,Male,13500,Race Car Help,Ford,Taurus,Black,69000,8687698
147,01/12/2022,Jonah,Female,1071500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Pale White,14150,7808972
148,01/12/2022,Annabelle,Male,1740000,Progressive Shippers Cooperative Association No,Saab,05-Sep,Pale White,28000,6099473
149,01/12/2022,Aria,Male,13500,Rabun Used Car Sales,Honda,Civic,Black,43000,8406767
150,01/12/2022,Ariana,Male,1700000,Race Car Help,BMW,528i,Pale White,25000,7946702
151,01/12/2022,Arianna,Male,1100000,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Pale White,12000,6420448
152,01/12/2022,Ariel,Male,13500,Saab-Belle Dodge,Lexus,LS400,Black,39000,7232005
153,01/12/2022,Arielle,Male,2155000,Scrivener Performance Engineering,Cadillac,Eldorado,Black,60500,7622532
154,01/12/2022,Louane,Male,13500,Iceberg Rentals,Volkswagen,Jetta,Pale White,16000,7398647
155,01/12/2022,Nina,Male,13500,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,Pale White,19000,7387235
156,01/12/2022,Laurine,Male,661000,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Black,44000,8931658
157,01/12/2022,Noah,Female,13500,Nebo Chevrolet,Oldsmobile,Aurora,Pale White,71000,7887874
158,01/12/2022,Arthur,Male,13500,New Castle Ford Lincoln Mercury,Ford,Mustang,Pale White,25000,8238020
159,01/12/2022,Romain,Male,2750000,Pars Auto Sales,Mitsubishi,Diamante,Black,18000,6735346
160,01/12/2022,Vivienne,Male,13500,Race Car Help,Ford,Expedition,Pale White,22000,6859342
161,01/12/2022,Gurdeniz,Male,13500,Diehl Motor CO Inc,Mercedes-B,M-Class,Pale White,41000,7891679
162,01/12/2022,Anais,Female,13500,Gartner Buick Hyundai Saab,Ford,Focus,Black,49000,8493769
163,01/12/2022,Yael,Male,950000,Scrivener Performance Engineering,Volkswagen,Jetta,Pale White,19000,8239781
164,01/12/2022,Yasmine,Female,715000,Star Enterprises Inc,BMW,528i,Black,21000,6539980
165,01/12/2022,Matheo,Female,13500,Rabun Used Car Sales,Subaru,Forester,Black,22000,6815074
166,1/13/2022,Jaslene,Female,847000,Classic Chevy,Plymouth,Breeze,Pale White,16000,8431840
167,1/13/2022,Jasmin,Female,13500,Clay Johnson Auto Sales,Volkswagen,Beetle,Pale White,45000,8808261
168,1/13/2022,Jasmine,Male,1176500,Diehl Motor CO Inc,Dodge,Intrepid,Black,11650,8193979
169,1/13/2022,Jayda,Male,955000,Enterprise Rent A Car,Hyundai,Elantra,Pale White,26000,6422078
170,1/13/2022,Jonathan,Male,800000,Saab-Belle Dodge,Saturn,SW,Black,36000,7960177
171,1/13/2022,Jordan,Male,13500,Scrivener Performance Engineering,Lincoln,Continental,Pale White,82000,6642461
172,1/13/2022,Joseph,Female,13500,Star Enterprises Inc,Chevrolet,Camaro,Pale White,24000,7781272
173,1/13/2022,Allison,Male,626800,Nebo Chevrolet,Nissan,Pathfinder,Pale White,11800,6438030
174,1/13/2022,Ashley,Male,2115000,Star Enterprises Inc,Toyota,RAV4,Pale White,27500,7063414
175,1/13/2022,Aubree,Male,2810000,Suburban Ford,Mercury,Villager,Pale White,36000,7033838
176,1/13/2022,Aubrey,Male,13500,Tri-State Mack Inc,Jaguar,S-Type,Pale White,20000,8626515
177,1/13/2022,Autumn,Male,13500,U-Haul CO,Mercedes-B,SLK,Pale White,17000,8692179
178,1/13/2022,Victor,Male,1589000,Pitre Buick-Pontiac-Gmc of Scottsdale,Volkswagen,Jetta,Pale White,16900,8280131
179,1/13/2022,Ludivine,Male,1385000,Progressive Shippers Cooperative Association No,Buick,Regal,Pale White,46500,6775570
180,1/13/2022,Anais,Male,2000000,Rabun Used Car Sales,Mercedes-B,C-Class,Black,14000,8957521
181,1/13/2022,Luckas,Male,951000,Race Car Help,Toyota,Sienna,Black,16000,6492064
182,1/13/2022,Victor,Male,1390000,Race Car Help,Volvo,S70,Black,22000,6729766
183,1/13/2022,Yitty,Male,2320000,U-Haul CO,Nissan,Altima,Pale White,20000,8827586
184,1/13/2022,Yocheved,Female,2752000,Progressive Shippers Cooperative Association No,Toyota,Celica,Pale White,14200,8378577
185,1/13/2022,Zissy,Male,655000,Rabun Used Car Sales,Saturn,LS,Pale White,51000,6300537
186,1/17/2022,Jayla,Male,890000,Gartner Buick Hyundai Saab,Mitsubishi,Diamante,Pale White,19000,7658357
187,1/17/2022,Jaylah,Male,1330000,Hatfield Volkswagen,Lexus,GS400,Pale White,31000,7154079
188,1/17/2022,Jayleen,Male,13500,Iceberg Rentals,Porsche,Carrera Cabrio,Pale White,32000,7160297
189,1/17/2022,Jaylene,Male,900000,McKinney Dodge Chrysler Jeep,Dodge,Ram Van,Pale White,31000,8063218
190,1/17/2022,Judah,Male,570000,Tri-State Mack Inc,Oldsmobile,Silhouette,Pale White,14000,8641482
191,1/17/2022,Jude,Male,715000,U-Haul CO,Audi,A6,Black,25000,6554530
192,1/17/2022,Julian,Female,630000,Progressive Shippers Cooperative Association No,Oldsmobile,Cutlass,Pale White,46000,6440545
193,1/17/2022,Justin,Female,700500,Rabun Used Car Sales,Mercedes-B,S-Class,Black,39500,7293423
194,1/17/2022,Ava,Male,2130000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,3000GT,Black,39000,6687979
195,1/17/2022,Avery,Male,13500,C & M Motors Inc,BMW,528i,Black,31000,8525846
196,1/17/2022,Bella,Male,2950000,Capitol KIA,Chevrolet,Malibu,Pale White,41000,6436923
197,1/17/2022,Blessing,Male,2150000,Chrysler of Tri-Cities,Chrysler,300M,Pale White,22000,7273916
198,1/17/2022,Angele,Female,1700000,Ryder Truck Rental and Leasing,Ford,Mustang,Black,22000,8283096
199,1/17/2022,Mathis,Male,13500,Saab-Belle Dodge,Dodge,Viper,Pale White,41000,6784925
200,1/17/2022,Evann,Male,1540000,Scrivener Performance Engineering,Jaguar,S-Type,Pale White,21000,7826082
201,1/17/2022,Gael,Male,1300000,Star Enterprises Inc,Mercedes-B,SLK,Black,26000,6471180
202,1/17/2022,Zoe,Male,960000,Race Car Help,Mercedes-B,E-Class,Pale White,31000,8928940
203,1/17/2022,Zoey,Male,13500,Ryder Truck Rental and Leasing,Pontiac,Grand Am,Pale White,19000,7428074
204,1/17/2022,Aarav,Male,1810000,Saab-Belle Dodge,Saturn,LW,Pale White,13000,8948624
205,1/17/2022,Mathis,Male,1130000,Ryder Truck Rental and Leasing,Saturn,SC,Black,33000,7941618
206,1/19/2022,Jaylin,Male,1090000,Motor Vehicle Branch Office,Mercury,Sable,Pale White,61000,7356041
207,1/19/2022,Jaylyn,Male,500000,Nebo Chevrolet,Toyota,Land Cruiser,Black,21000,8854864
208,1/19/2022,Kacper,Female,1700000,Race Car Help,Nissan,Maxima,Pale White,16000,6668924
209,1/19/2022,Kai,Male,860000,Ryder Truck Rental and Leasing,Oldsmobile,Bravada,Pale White,15000,7296907
210,1/19/2022,Brianna,Male,13500,Chrysler Plymouth,Volkswagen,Passat,Pale White,27000,7555872
211,1/19/2022,Brielle,Male,2035000,Classic Chevy,Volkswagen,Passat,Pale White,13500,6327935
212,1/19/2022,Hugo,Male,1372500,Suburban Ford,Nissan,Xterra,Black,9250,6171876
213,1/19/2022,Kassandra,Male,1800000,Tri-State Mack Inc,Ford,Mustang,Pale White,31000,8997806
214,1/19/2022,Abdul,Male,1250000,Star Enterprises Inc,Volkswagen,Passat,Pale White,32000,7104776
215,1/19/2022,Abdullah,Male,1175000,Suburban Ford,Volvo,S40,Pale White,29500,8210697
216,1/21/2022,Jazlyn,Male,1100000,New Castle Ford Lincoln Mercury,Mercury,Villager,Pale White,14000,8717945
217,1/21/2022,Jazmin,Male,1315000,Pars Auto Sales,Nissan,Frontier,Pale White,18501,6719698
218,1/21/2022,Jazmine,Female,480000,Pitre Buick-Pontiac-Gmc of Scottsdale,Acura,RL,Pale White,17001,8884589
219,1/21/2022,Jennifer,Female,423500,Progressive Shippers Cooperative Association No,Mitsubishi,Montero Sport,Pale White,12500,7091817
220,1/21/2022,Jessica,Female,13500,Rabun Used Car Sales,BMW,528i,Black,21000,6053967
221,1/21/2022,Kenneth,Male,13500,Saab-Belle Dodge,BMW,528i,Pale White,62000,7755205
222,1/21/2022,Kevin,Male,653000,Scrivener Performance Engineering,Ford,Crown Victoria,Black,11000,6075959
223,1/21/2022,Kieran,Male,13500,Star Enterprises Inc,Nissan,Frontier,Pale White,20000,6579013
224,1/21/2022,Kyle,Male,2862000,Suburban Ford,Honda,Accord,Pale White,21200,6175694
225,1/21/2022,Landon,Male,2180000,Tri-State Mack Inc,Toyota,Camry,Black,29000,7778542
226,1/21/2022,Brooke,Male,13500,Clay Johnson Auto Sales,Cadillac,Eldorado,Pale White,17000,8652954
227,1/21/2022,Brooklyn,Male,1500000,Diehl Motor CO Inc,Lexus,ES300,Pale White,27000,8165932
228,1/21/2022,Cali,Male,1190000,Enterprise Rent A Car,Volvo,S40,Black,36000,8439749
229,1/21/2022,Chanel,Female,920000,Gartner Buick Hyundai Saab,Lincoln,Navigator,Black,19000,6548543
230,1/21/2022,Charlotte,Male,320000,Hatfield Volkswagen,Nissan,Frontier,Pale White,18000,7638367
231,1/21/2022,Oliver,Male,690000,Chrysler Plymouth,Chevrolet,Prizm,Pale White,15000,6042502
232,1/21/2022,Owen,Male,13500,Diehl Motor CO Inc,Toyota,Tacoma,Pale White,24000,7856638
233,1/21/2022,Tomy,Male,905000,Rabun Used Car Sales,Nissan,Sentra,Black,16000,7774440
234,1/21/2022,Timothe,Male,13500,Race Car Help,Ford,Crown Victoria,Pale White,29000,6944597
235,1/21/2022,Leo,Female,1180000,Ryder Truck Rental and Leasing,Pontiac,Bonneville,Pale White,19000,8669480
236,1/21/2022,Adam,Male,800000,Tri-State Mack Inc,Mercedes-B,CL500,Black,22000,6063129
237,1/21/2022,Aditya,Male,1225000,U-Haul CO,Dodge,Viper,Pale White,23500,6972050
238,1/21/2022,Adrian,Female,1200000,Buddy Storbeck's Diesel Service Inc,Mitsubishi,Galant,Pale White,36000,8725531
239,1/21/2022,Ahmed,Male,13500,C & M Motors Inc,Pontiac,Bonneville,Pale White,19000,7853364
240,1/21/2022,Mathis,Male,1350000,Star Enterprises Inc,Toyota,Tacoma,Pale White,53000,6090926
241,1/23/2022,Jimena,Male,426000,Race Car Help,Cadillac,Escalade,Black,28000,6059431
242,1/23/2022,Jocelyn,Male,1447500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Black,60750,7474014
243,1/23/2022,Alana,Male,770000,Suburban Ford,Chevrolet,Prizm,Pale White,42000,6410028
244,1/23/2022,Leo,Male,1610000,Buddy Storbeck's Diesel Service Inc,Cadillac,Eldorado,Pale White,31000,6249100
245,1/23/2022,Chelsea,Female,1540000,Iceberg Rentals,Ford,Contour,Pale White,62000,7798861
246,1/23/2022,Chloe,Male,1285000,McKinney Dodge Chrysler Jeep,Mercedes-B,S-Class,Black,39500,6712658
247,1/23/2022,Pablo,Male,1400000,Enterprise Rent A Car,Toyota,Tacoma,Pale White,24001,7391292
248,1/23/2022,Matthieu,Male,1200000,Scrivener Performance Engineering,Mercedes-B,C-Class,Pale White,15000,7186099
249,1/23/2022,Aiden,Male,1720000,Chrysler of Tri-Cities,Nissan,Quest,Black,19000,7445427
250,1/23/2022,Mary,Female,600000,U-Haul CO,Volkswagen,Golf,Pale White,35000,6723919
251,1/24/2022,Johanna,Male,457000,Saab-Belle Dodge,Hyundai,Sonata,Pale White,21000,7019166
252,1/24/2022,Leon,Male,2450000,C & M Motors Inc,Nissan,Altima,Pale White,20000,8939266
253,1/24/2022,Christina,Male,1975000,Motor Vehicle Branch Office,Ford,Ranger,Black,18500,6711152
254,1/24/2022,Gwendoline,Female,860000,Star Enterprises Inc,Chevrolet,Corvette,Pale White,45000,6628315
